NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
DCA21WA207,INC,2021-08-14T04:00:00Z,Guam,Pacific Ocean,United States,B-16227,,0,0,0,,40.0077,-75.1339,AIRBUS,321,AIR,,,FALSE,,,,NUSC,Minor,,EVA Air,state_centroid
OPS11IA246,INC,2011-01-21T00:35:00Z,80 SE of JFK (Atlantic Ocean),New York,United States,N766AN,None,0,0,0,Incomplete and incorrect coordination between air traffic controllers that resulted in the 777 and the two C17s being cleared to maintain the same altitude. Contributing to the incident was the controllers’ non-adherence to established communications phraseology and incorrect data entry into the radar data blocks for each aircraft.,40.6943,-73.9249,BOEING,777,,,,FALSE,,SCHD,,121,None,VMC,,state_centroid
OPS11IA101,INC,2010-11-12T00:31:00Z,66 NM East of Hobe Sound,Florida,United States,"N3742C, HK-4553",None,0,0,0,"Air traffic controllers did not maintain required awareness of available flight data and aircraft positions, resulting in issuance of an incorrect altitude clearance that caused a loss of standard instrument flight rules separation between the two aircraft.",25.784,-80.2101,"BOEING, AIRBUS","737-832, A319","AIR,AIR",,,"FALSE,FALSE","2,2",SCHD,"UNK,UNK","121,121","None,None",VMC,"DELTA AIR LINES INC,Avianca Airlines",state_centroid
CEN09IA254,INC,2009-04-08T01:00:00Z,Vick,Texas,United States,N295AE,None,0,0,0,Undetermined.,29.786,-95.3885,BELL,206,HELI,,,FALSE,1,NSCH,,135,Minor,VMC,"Air Evac EMS, INC.",state_centroid
DCA04IA018,INC,2004-01-19T17:20:00Z,Bangor,Massachusetts,United States,N734EK,None,0,0,0,Severe wear of the internal threads of the rudder interconnection contol rod which led to disengagement.,42.3188,-71.0852,Embraer,135,AIR,,,FALSE,,SCHD,,121,Minor,VMC,SIMMONS AIRLINES INC,state_centroid
CHI03FAMS1,ACC,2002-11-10T19:16:00Z,Unknown,Michigan,United States,N7091M,Fatal,2,0,0,Undetermined. Missing aircraft.,42.3834,-83.1024,Cessna,175,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD02LA032,ACC,2002-02-16T18:10:00Z,HARWINTON,Connecticut,United States,N81072,Minor,0,0,2,"pilot's failure to obtain adequate airspeed during take-off, which resulted in an aerodynamic stall.",41.7661,-72.6834,Grumman American,AA-5B,AIR,22B,MOUNTAIN MEADOW,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD02LA025,ACC,2002-01-14T13:10:00Z,OXFORD,Massachusetts,United States,N3997R,Minor,0,0,1,The pilot's delayed aborted landing and his failure to attain obstacle clearance.  The pilot's misjudgment of distance is a contributing factor.,42.3188,-71.0852,Piper,PA-28-180,AIR,43M,Oxford,FALSE,1,,BUS,91,Substantial,VMC,EAGLE EAST AVIATION,state_centroid
CHI01LA313,ACC,2001-09-03T14:48:00Z,Bloomfield,Wisconsin,United States,N7172B,Serious,0,2,0,Aircraft control not possible due to the inadvertent control interference by the front seat passenger.  Factors to the accident were the restricted control stick movement and the encountered stall.,43.0642,-87.9675,Gelasi,Aircamper,AIR,64C,Vincent Airport,TRUE,1,,PERS,91,Substantial,VMC,,state_centroid
IAD01LA100,ACC,2001-08-25T07:37:00Z,AMHERST,New Hampshire,United States,N470SP,Fatal,1,0,0,"Suicide, when the pilot intentionally crashed his airplane into his house.",42.7491,-71.491,SOCATA,TB-20,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
IAD01LA056,ACC,2001-05-12T16:00:00Z,ASHLAND,Maine,United States,N1674E,Minor,0,0,1,loss of partial engine power due to carburetor icing.,43.6773,-70.2715,Cessna,172N,AIR,,,FALSE,1,,AOBV,91,Substantial,VMC,,state_centroid
IAD01LA016,ACC,2000-11-24T11:15:00Z,UNION,Connecticut,United States,N280H,Serious,0,1,1,"pilot's mismanagement of the available fuel supply, which resulted in a loss of engine power due to fuel starvation.",41.7661,-72.6834,Bellanca,BL-17-30A,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC01LA043,ACC,2000-11-21T10:00:00Z,LONDONDERRY,New Hampshire,United States,N8117Y,None,0,0,0,The pilot's failure to obtain the proper touchdown point.,42.7491,-71.491,Robinson,R-22,HELI,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
LAX01LA039,ACC,2000-11-13T21:48:00Z,PARUMPH,Nevada,United States,N911VH,None,0,0,0,"The pilot's failure to verify the presence of wires near the remote landing site during the high reconnaissance, and his misjudgement of the clearance from the ground during the attempted hovering turn to avoid the wire obstacle.  Factors were the dark night and the incorrect  information provided by the ground crew.",36.2333,-115.2654,Messerschmitt-Boelkow-Blohm,BO-105CBS-5,HELI,,,FALSE,2,,OWRK,91,Substantial,VMC,,state_centroid
MIA01FAMS1,ACC,2000-10-27T00:00:00Z,MISSING,Florida,United States,N11214,Fatal,1,0,0,undetermined.,25.784,-80.2101,Cessna,150,AIR,,,FALSE,1,,PERS,91,Destroyed,VMC,,state_centroid
NYC01LA013,ACC,2000-10-15T10:07:00Z,SOUTHBOROUGH,Massachusetts,United States,N4381S,None,0,0,0,"A failed connecting rod assembly, with the initiating event undetermined.",42.3188,-71.0852,Piper,PA-28-181,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC01LA002,ACC,2000-10-02T13:10:00Z,LEICESTER,Massachusetts,United States,N5638D,Serious,0,1,0,"The pilot's failure to properly manage the fuel onboard the airplane, which resulted in fuel starvation, and a total loss of engine power.  A factor in the accident was the pilot's failure to maintain airspeed while maneuvering for a field.",42.3188,-71.0852,Maule,M-5,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
NYC00LA244,ACC,2000-08-29T10:00:00Z,WINDSOR,New Hampshire,United States,N7664G,Minor,0,0,1,"the pilot's improper preflight planning to make a takeoff toward obstacles, and his delayed decision to abort the takeoff, which resulted in an overrun into unsuitable terrain.",42.7491,-71.491,Cessna,172L,AIR,NONE,NONE,FALSE,1,,PERS,91,Substantial,VMC,RICHARD P. HERMAN,state_centroid
LAX00LA315,ACC,2000-08-27T18:50:00Z,WESTMINISTER,California,United States,"N9PJ, N6225R",None,0,0,0,The pilot of the Pitts misjudged the clearance while maneuvering under the Cessna.,34.1141,-118.4068,"Pitts, Cessna","S1S, 172RG","AIR,AIR",,,"FALSE,FALSE","1,1",,"PERS,PERS","91,091","Substantial,Minor",VMC,",",state_centroid
MIA00LA251,ACC,2000-08-26T08:40:00Z,DAYTONA BCH SH,Florida,United States,N5117K,Minor,0,0,3,"a loss of engine power due to undetermined reasons, that resulted in the aircraft being ditched.",25.784,-80.2101,Ryan,NAVION A,AIR,,,FALSE,1,,PERS,91,Substantial,VMC,,state_centroid
